1 1.0
2 1.0625
3 1.0748456790123457
4 1.0787519290123457
5 1.0803519290123458
6 1.0811235339506173
7 1.0815400270784807
8 1.0817841677034807
9 1.0819365834937567
10 1.0820365834937566
11 1.0821048848392931
12 1.0821531101479351
13 1.0821881229275998
14 1.0822141537480912
15 1.0822339068345108
16 1.0822491656235733
17 1.0822611386602947
18 1.082270664647187
19 1.0822783380075816
20 1.0822845880075815
21 1.082289729898049
22 1.082293998732145
23 1.08229757218993
24 1.08230058627172
25 1.08230314627172
26 1.0823053345704492
27 1.0823072162468723
28 1.0823088431731531
29 1.0823102570383636
30 1.0823114916062648
31 1.0823125744186752
32 1.0823135280929916
33 1.0823143713194798
34 1.0823151196342748
35 1.0823157860232795
36 1.0823163813974603
37 1.0823169149695493
38 1.0823173945545739
39 1.0823178268111129
40 1.0823182174361128
41 1.0823185713230834
42 1.0823188926912377
43 1.0823191851914447
44 1.0823194519935757
45 1.0823196958588401
46 1.0823199191999517
47 1.0823201241313807
48 1.0823203125114926
49 1.0823204859780182
50 1.0823206459780181
51 1.0823207937932864
52 1.082320930561957
53 1.082321057296943
54 1.0823211749017194
55 1.0823212841838723
56 1.0823213858667649
57 1.0823214805996093
58 1.082321568966185
59 1.082321651492405
60 1.0823217286528988
61 1.0823218008767528
62 1.0823218685525284
63 1.0823219320326576
64 1.0823219916373024
65 1.0823220476577498
66 1.0823221003594052
67 1.082322149984436
68 1.0823221967541108
69 1.0823222408708735
70 1.0823222825201864
71 1.0823223218721678
72 1.0823223590830542
73 1.0823223942965028
74 1.0823224276447583
75 1.0823224592496965
76 1.0823224892237606
77 1.0823225176708016
78 1.0823225446868352
79 1.0823225703607227
80 1.0823225947747852
81 1.0823226180053582
82 1.082322640123294
83 1.0823226611944143
84 1.082322681279924
85 1.0823227004367828
