1 7.606159707840961 100.0
2 1.8315446895810203 5.88235294117647
3 0.6908799946160888 1.148600143575023
4 0.3299665559748426 0.3621082748446511
5 0.18213641150738388 0.14809988828943552
6 0.11084486807208078 0.07137065414272978
7 0.07236346853348763 0.03850926617930729
8 0.04980637861840975 0.02256833038315638
9 0.03572409843365345 0.014087312750229843
10 0.026484714404438565 0.009241831701946885
11 0.020174090793201357 0.006311896979064539
12 0.015718369328491067 0.004456421941569902
13 0.012483404155969264 0.0032353690567170925
14 0.01007831668481745 0.002405329887915233
15 0.008253253172882127 0.0018252141514801918
16 0.006843435053189757 0.0014099146062827544
17 0.005737200210540372 0.00110629831319854
18 0.004857057698998232 0.0008801852626482042
19 0.0041480864641912805 0.0007090006447667289
20 0.0035706249623666322 0.0005774821215454333
21 0.003095545955721133 0.0004750937133897297
22 0.0027011319800226545 0.0003944246296282869
23 0.00237096649214357 0.0003301733161777767
24 0.002092483900596613 0.00027848841887228746
25 0.0018559556694500905 0.00023653262108711362
26 0.0016537703461610663 0.0002021886670252425
27 0.0014799150352416952 0.00017385788386833461
28 0.0013295970682857313 0.0001503199656058197
29 0.001198964631835435 0.00013063400270578581
30 0.0010848981623381951 0.00011406770701569714
31 0.000984852965425116 0.00010004618222087135
32 0.0008967393329443431 8.811442263745879e-05
33 0.0008188303994644271 7.790957142717088e-05
34 0.0007496907218052515 6.914019599680995e-05
35 0.0006881204825376926 6.157066294790203e-05
36 0.0006331115755586155 5.500925524903965e-05
37 0.0005838128011872107 4.929906218564074e-05
38 0.0005395020990194695 4.43109412261992e-05
39 0.0004995642573892233 3.9938041146424934e-05
40 0.0004634729135341583 3.609151112944313e-05
41 0.0004307759372895361 3.2697117095934784e-05
42 0.00040108349936521687 2.9692557016265973e-05
43 0.0003740582819593847 2.7025318496274262e-05
44 0.00034940740847310087 2.4650959618562987e-05
45 0.00032687576017886947 2.253172194496881e-05
46 0.00030624041718258003 2.063540619024343e-05
47 0.000287306015466473 1.893445611593846e-05
48 0.00026990085348837703 1.7405208954903477e-05
49 0.00025387361502715074 1.6027279150259258e-05
50 0.0002390906005881864 1.4783049783846833e-05
51 0.000225433380300966 1.3657251075223158e-05
52 0.00021279679759155534 1.2636609599711214e-05
53 0.00020108726552998837 1.1709555607992173e-05
54 0.000190221308605221 1.0865977594172146e-05
55 0.00018012431082500938 1.0097015967392051e-05
56 0.00017072943789026162 9.394888974588883e-06
57 0.00016197670658900354 8.752745478666928e-06
58 0.00015381217931470672 8.164539832353495e-06
59 0.00014618726491673158 7.624925544645223e-06
60 0.00013905811057828298 7.129164252129715e-06
61 0.00013238507134573623 6.673048066666199e-06
62 0.00012613224653866878 6.252832693905784e-06
63 0.00012026707362395793 5.865179968591164e-06
64 0.00011475997159390963 5.507108350004291e-06
65 0.00010958402732447255 5.175949941451484e-06
66 0.00010471471898454223 4.869313438818186e-06
67 0.00010012967181880912 4.58505175673039e-06
68 9.580844195485288e-05 4.321234004063219e-06
69 9.173232482890139e-05 4.0761208650719245e-06
70 8.78841848657034e-05 3.848143345107406e-06
71 8.424830417631948e-05 3.635883752554325e-06
72 8.081024748371605e-05 3.4380594709077935e-06
73 7.755674173749589e-05 3.2535082695351627e-06
74 7.44755683456942e-05 3.081175686524796e-06
75 7.155546673116034e-05 2.920103704027692e-06
76 6.878604783798318e-05 2.769420798152272e-06
77 6.615771648012009e-05 2.6283330967082492e-06
78 6.36616013833586e-05 2.4961166858293575e-06
79 6.128949232565963e-05 2.372110511553461e-06
80 5.903378332958917e-05 2.2557103277015954e-06
81 5.6887421476011636e-05 2.146363074588143e-06
82 5.484386045687609e-05 2.043562139903919e-06
83 5.289701872348658e-05 1.946842763211283e-06
84 5.1041241348087736e-05 1.8557783226111336e-06
85 4.9271265598765505e-05 1.769976621412121e-06
